partida_id,data,fase,rodada,mandante,visitante,odd_mandante,odd_empate,odd_visitante,prob_mandante_impl,prob_empate_impl,prob_visitante_impl,margem,bookmaker,gols_mandante,gols_visitante,resultado,fonte
1001,2026-04-15,Fase de Grupos,1ª Rodada,Deportes Tolima,Palmeiras,4.09,3.11,2.03,0.231,0.3037,0.4653,0.0587,Consenso Bzzoiro,0,4,visitante,exemplo
1002,2026-04-14,Fase de Grupos,1ª Rodada,Flamengo,Independiente Rivadavia,1.01,42.92,47.8,0.9572,0.0225,0.0202,0.0343,Consenso Bzzoiro,2,0,mandante,exemplo
1003,2026-04-15,Fase de Grupos,1ª Rodada,Estudiantes,Coquimbo Unido,2.84,1.98,4.77,0.3301,0.4734,0.1965,0.0668,Consenso Bzzoiro,2,0,mandante,exemplo
1004,2026-04-21,Fase de Grupos,2ª Rodada,Independiente Rivadavia,Deportes Tolima,1.12,8.21,15.83,0.8284,0.113,0.0586,0.0778,Consenso Bzzoiro,1,0,mandante,exemplo
1005,2026-04-22,Fase de Grupos,2ª Rodada,Flamengo,Coquimbo Unido,1.08,8.5,38.39,0.8657,0.11,0.0244,0.0696,Consenso Bzzoiro,1,1,empate,exemplo
1006,2026-04-21,Fase de Grupos,2ª Rodada,Estudiantes,Palmeiras,2.03,4.6,2.97,0.4706,0.2077,0.3217,0.0467,Consenso Bzzoiro,2,0,mandante,exemplo
1007,2026-04-29,Fase de Grupos,3ª Rodada,Coquimbo Unido,Independiente Rivadavia,2.23,6.22,2.25,0.4256,0.1526,0.4218,0.0536,Bet365,5,1,mandante,exemplo
1008,2026-04-28,Fase de Grupos,3ª Rodada,Estudiantes,Deportes Tolima,3.28,1.8,4.86,0.2859,0.5211,0.193,0.0662,Consenso Bzzoiro,2,1,mandante,exemplo
1009,2026-04-29,Fase de Grupos,3ª Rodada,Flamengo,Palmeiras,1.4,3.84,11.51,0.6728,0.2453,0.0818,0.0616,Bet365,1,0,mandante,exemplo
1010,2026-05-05,Fase de Grupos,4ª Rodada,Coquimbo Unido,Palmeiras,3.71,3.23,2.05,0.2526,0.2902,0.4572,0.0669,Consenso Bzzoiro,1,0,mandante,exemplo
1011,2026-05-06,Fase de Grupos,4ª Rodada,Flamengo,Deportes Tolima,1.18,5.92,35.4,0.8113,0.1617,0.027,0.0446,Consenso Bzzoiro,0,1,visitante,exemplo
1012,2026-05-05,Fase de Grupos,4ª Rodada,Independiente Rivadavia,Estudiantes,1.49,3.75,7.63,0.6279,0.2495,0.1226,0.0689,Bet365,0,0,empate,exemplo
1013,2026-05-13,Fase de Grupos,5ª Rodada,Flamengo,Estudiantes,1.27,4.71,17.54,0.7451,0.2009,0.054,0.0567,Consenso Bzzoiro,3,0,mandante,exemplo
1014,2026-05-12,Fase de Grupos,5ª Rodada,Coquimbo Unido,Deportes Tolima,2.68,3.73,2.37,0.351,0.2522,0.3969,0.0632,Consenso Bzzoiro,1,2,visitante,exemplo
1015,2026-05-13,Fase de Grupos,5ª Rodada,Palmeiras,Independiente Rivadavia,1.79,3.49,4.91,0.5326,0.2732,0.1942,0.0489,Consenso Bzzoiro,1,2,visitante,exemplo
1016,2026-05-19,Fase de Grupos,6ª Rodada,Independiente Rivadavia,Flamengo,21.33,3.66,1.34,0.044,0.2562,0.6998,0.0664,Consenso Bzzoiro,0,3,visitante,exemplo
1017,2026-05-20,Fase de Grupos,6ª Rodada,Palmeiras,Deportes Tolima,1.36,4.37,12.26,0.7032,0.2188,0.078,0.0457,Consenso Bzzoiro,6,2,mandante,exemplo
1018,2026-05-19,Fase de Grupos,6ª Rodada,Coquimbo Unido,Estudiantes,2.29,2.99,3.58,0.4157,0.3184,0.2659,0.0505,Consenso Bzzoiro,0,0,empate,exemplo
1019,2026-04-15,Fase de Grupos,1ª Rodada,Fluminense,Independiente del Valle,2.04,2.13,9.92,0.4622,0.4427,0.0951,0.0605,Consenso Bzzoiro,0,0,empate,exemplo
