partida_id,data,fase,rodada,grupo,mandante,visitante,gols_mandante,gols_visitante,resultado,arbitro,arbitro_pais,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,posse_mandante,posse_visitante,passes_certos_mandante,passes_certos_visitante,passes_errados_mandante,passes_errados_visitante,finalizacoes_mandante,finalizacoes_visitante,finalizacoes_no_gol_mandante,finalizacoes_no_gol_visitante,finalizacoes_fora_mandante,finalizacoes_fora_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,defesas_mandante,defesas_visitante,fonte
1001,2026-04-15,Fase de Grupos,1ª Rodada,Grupo A,Deportes Tolima,Palmeiras,0,4,visitante,Raphael Claus,Brasil,9,7,0,0,0,0,58.6,41.4,388,274,87,62,6,12,2,6,4,6,5,6,2,0,2,2,exemplo
1002,2026-04-14,Fase de Grupos,1ª Rodada,Grupo A,Flamengo,Independiente Rivadavia,2,0,mandante,Facundo Tello,Argentina,14,12,1,2,0,0,55.8,44.2,337,267,72,57,6,2,3,1,3,1,9,6,1,1,1,1,exemplo
1003,2026-04-15,Fase de Grupos,1ª Rodada,Grupo A,Estudiantes,Coquimbo Unido,2,0,mandante,Esteban Ostojich,Uruguai,10,13,1,1,0,0,38.0,62.0,257,419,62,101,12,7,4,1,8,6,3,2,0,1,1,2,exemplo
1004,2026-04-21,Fase de Grupos,2ª Rodada,Grupo A,Independiente Rivadavia,Deportes Tolima,1,0,mandante,Piero Maza,Chile,12,14,1,3,0,0,57.5,42.5,427,316,84,62,5,4,2,1,3,3,7,4,2,1,1,1,exemplo
1005,2026-04-22,Fase de Grupos,2ª Rodada,Grupo A,Flamengo,Coquimbo Unido,1,1,empate,Andrés Matonte,Uruguai,7,11,2,0,0,0,55.0,45.0,385,315,79,65,4,6,1,2,3,4,4,5,1,2,1,0,exemplo
1006,2026-04-21,Fase de Grupos,2ª Rodada,Grupo A,Estudiantes,Palmeiras,2,0,mandante,Kevin Ortega,Peru,13,10,0,0,0,0,59.3,40.7,450,308,65,45,9,5,8,3,1,2,5,2,1,0,3,6,exemplo
1007,2026-04-29,Fase de Grupos,3ª Rodada,Grupo A,Coquimbo Unido,Independiente Rivadavia,5,1,mandante,Jesús Valenzuela,Venezuela,10,11,2,0,0,0,44.1,55.9,380,481,69,88,8,3,5,2,3,1,7,4,2,3,1,0,exemplo
1008,2026-04-28,Fase de Grupos,3ª Rodada,Grupo A,Estudiantes,Deportes Tolima,2,1,mandante,Wilmar Roldán,Colômbia,10,7,4,1,0,0,65.1,34.9,427,229,86,46,4,4,3,1,1,3,8,3,3,1,0,1,exemplo
1009,2026-04-29,Fase de Grupos,3ª Rodada,Grupo A,Flamengo,Palmeiras,1,0,mandante,Raphael Claus,Brasil,8,10,0,1,0,0,48.1,51.9,313,337,70,75,6,4,3,3,3,1,3,2,3,0,3,2,exemplo
1010,2026-05-05,Fase de Grupos,4ª Rodada,Grupo A,Coquimbo Unido,Palmeiras,1,0,mandante,Facundo Tello,Argentina,10,12,2,1,0,0,50.2,49.8,360,356,53,53,3,3,1,0,2,3,5,5,0,1,0,0,exemplo
1011,2026-05-06,Fase de Grupos,4ª Rodada,Grupo A,Flamengo,Deportes Tolima,0,1,visitante,Esteban Ostojich,Uruguai,6,7,1,2,0,0,47.2,52.8,324,362,70,78,5,7,2,6,3,1,2,6,2,0,5,2,exemplo
1012,2026-05-05,Fase de Grupos,4ª Rodada,Grupo A,Independiente Rivadavia,Estudiantes,0,0,empate,Piero Maza,Chile,13,14,1,1,0,0,46.2,53.8,321,374,81,94,12,8,4,2,8,6,6,3,1,2,2,4,exemplo
1013,2026-05-13,Fase de Grupos,5ª Rodada,Grupo A,Flamengo,Estudiantes,3,0,mandante,Andrés Matonte,Uruguai,7,11,1,1,0,0,66.1,33.9,472,242,89,46,11,4,8,2,3,2,4,4,0,1,2,5,exemplo
1014,2026-05-12,Fase de Grupos,5ª Rodada,Grupo A,Coquimbo Unido,Deportes Tolima,1,2,visitante,Kevin Ortega,Peru,7,11,1,0,0,0,54.8,45.2,308,254,58,47,12,6,6,2,6,4,9,1,0,2,0,5,exemplo
1015,2026-05-13,Fase de Grupos,5ª Rodada,Grupo A,Palmeiras,Independiente Rivadavia,1,2,visitante,Jesús Valenzuela,Venezuela,9,13,0,6,0,0,52.7,47.3,361,324,77,69,8,4,6,3,2,1,9,9,0,2,1,5,exemplo
1016,2026-05-19,Fase de Grupos,6ª Rodada,Grupo A,Independiente Rivadavia,Flamengo,0,3,visitante,Wilmar Roldán,Colômbia,10,10,0,1,0,0,56.7,43.3,417,318,105,80,11,11,9,6,2,5,4,5,0,0,3,9,exemplo
1017,2026-05-20,Fase de Grupos,6ª Rodada,Grupo A,Palmeiras,Deportes Tolima,6,2,mandante,Raphael Claus,Brasil,4,9,0,3,0,0,58.7,41.3,297,209,56,39,13,9,12,5,1,4,6,7,2,0,3,6,exemplo
1018,2026-05-19,Fase de Grupos,6ª Rodada,Grupo A,Coquimbo Unido,Estudiantes,0,0,empate,Facundo Tello,Argentina,11,14,2,2,0,0,57.6,42.4,398,293,75,55,5,4,3,0,2,4,6,5,2,1,0,3,exemplo
