temporada,time,time_id,time_canonico,pais,n_jogadores,idade_media,posse,jogos,titulares,minutos,noventas,gols,assistencias,gols_mais_assistencias,gols_sem_penalti,penaltis,penaltis_tentados,cartoes_amarelos,cartoes_vermelhos,gols_sofrido,finalizacoes,finalizacoes_no_gol,pct_no_gol,finalizacoes_90,finalizacoes_no_gol_90,gols_por_finalizacao,gols_por_finalizacao_no_gol,dois_amarelos,faltas,faltas_sofridas,impedimentos,cruzamentos,interceptacoes,desarmes_ganhos,gols_contra,fonte,coletado_em
2026,Always Ready,8d727f54,Always Ready,BO,22,28.8,52.0,6,66,540,6.0,7,7,14,7,0,1,17,1,9,98,33,33.7,16.33,5.50,0.07,0.21,1,70,51,12,112,64,64,0,fbref,2026-08-22
2026,Barcelona SC,8c71aef1,Barcelona SC,EC,25,29.3,44.5,6,66,540,6.0,2,2,4,2,0,0,17,2,12,62,16,25.8,10.33,2.67,0.03,0.13,0,67,56,11,94,50,45,0,fbref,2026-08-22
2026,Boca Juniors,795ca75e,Boca Juniors,AR,23,26.6,55.7,6,66,540,6.0,6,5,11,6,0,0,16,2,5,86,31,36.0,14.33,5.17,0.07,0.19,1,67,78,15,131,52,49,0,fbref,2026-08-22
2026,Bolívar,e69cb5b6,Bolívar,BO,20,31.6,55.0,6,66,540,6.0,6,4,10,6,0,0,10,1,7,80,28,35.0,13.33,4.67,0.08,0.21,0,56,67,12,110,37,74,1,fbref,2026-08-22
2026,Cerro Porteño,e4cd6f9a,Cerro Porteño,PY,30,29.7,40.8,8,88,720,8.0,5,3,8,4,1,1,20,1,4,70,21,30.0,8.75,2.62,0.07,0.24,0,107,102,13,110,90,112,0,fbref,2026-08-22
2026,Coquimbo Unido,85c3a70f,Coquimbo Unido,CL,22,30.8,46.6,8,88,750,8.3,9,6,15,9,0,0,19,0,7,83,36,43.4,9.96,4.32,0.11,0.25,0,115,71,26,184,106,74,0,fbref,2026-08-22
2026,Corinthians,bf4acd28,Corinthians,BR,26,28.3,59.5,8,88,720,8.0,9,8,17,9,0,0,9,2,4,95,36,37.9,11.87,4.50,0.09,0.25,1,61,102,11,140,75,85,0,fbref,2026-08-22
2026,Cruzeiro,03ff5eeb,Cruzeiro,BR,29,27.0,52.4,8,88,720,8.0,10,9,19,9,1,1,22,2,6,96,27,28.1,12.00,3.38,0.10,0.37,0,90,104,6,126,65,66,0,fbref,2026-08-22
2026,Cusco FC,d4f8af71,Cusco FC,PE,21,29.9,47.8,6,66,540,6.0,4,3,7,4,0,0,14,1,12,53,20,37.7,8.83,3.33,0.08,0.20,1,53,50,17,99,33,46,0,fbref,2026-08-22
2026,Deportivo La Guaira,0f8ef17f,Deportivo La Guaira,VE,25,27.4,43.2,6,66,540,6.0,6,4,10,6,0,0,11,1,13,52,19,36.5,8.67,3.17,0.12,0.32,0,71,62,7,49,44,55,0,fbref,2026-08-22
2026,Tolima,9c4c0cc1,Tolima,CO,26,28.4,63.1,7,77,630,7.0,7,3,10,5,2,3,14,0,7,82,31,37.8,11.71,4.43,0.09,0.23,0,89,74,10,87,43,63,0,fbref,2026-08-22
2026,Estudiantes,df734df9,Estudiantes,AR,24,29.0,49.0,8,88,720,8.0,10,6,16,10,0,0,27,0,6,116,42,36.2,14.50,5.25,0.09,0.24,0,91,78,9,160,58,86,0,fbref,2026-08-22
2026,Flamengo,639950ae,Flamengo,BR,25,30.0,56.7,8,88,720,8.0,14,9,23,13,1,1,6,0,4,131,58,44.3,16.37,7.25,0.11,0.24,0,61,85,12,93,53,68,0,fbref,2026-08-22
2026,Fluminense,84d9701c,Fluminense,BR,26,30.8,64.4,8,88,750,8.3,8,3,11,7,1,1,21,2,8,113,36,31.9,13.56,4.32,0.07,0.22,2,82,91,11,149,43,67,0,fbref,2026-08-22
2026,Medellín,70068101,Medellín,CO,19,30.7,46.8,6,66,540,6.0,6,6,12,6,0,0,13,0,8,58,18,31.0,9.67,3.00,0.10,0.33,0,60,41,4,81,34,45,0,fbref,2026-08-22
2026,Independiente Rivadavia,8a9d5afa,Independiente Rivadavia,AR,26,27.6,37.4,8,88,750,8.3,15,11,26,13,2,2,18,0,7,99,36,36.4,11.88,4.32,0.15,0.42,0,103,69,13,157,78,67,0,fbref,2026-08-22
2026,Independiente del Valle,990519b8,Independiente del Valle,EC,22,27.4,55.0,7,77,630,7.0,12,7,19,11,1,2,9,2,6,141,46,32.6,20.14,6.57,0.09,0.26,0,46,55,8,174,48,68,0,fbref,2026-08-22
2026,Junior,b281fa3b,Junior,CO,25,29.3,51.5,6,66,540,6.0,5,3,8,4,1,1,12,1,11,80,18,22.5,13.33,3.00,0.06,0.28,0,75,53,14,62,40,55,0,fbref,2026-08-22
2026,Lanús,11b6dba8,Lanús,AR,21,30.3,50.0,6,66,540,6.0,3,2,5,3,0,0,11,1,6,77,23,29.9,12.83,3.83,0.04,0.13,0,52,83,6,118,47,63,1,fbref,2026-08-22
2026,LDU,1284d3f9,LDU,EC,25,29.7,49.5,8,88,750,8.3,8,6,14,8,0,0,18,0,6,110,26,23.6,13.20,3.12,0.07,0.31,0,105,59,14,116,60,65,0,fbref,2026-08-22
2026,Libertad,ae107695,Libertad,PY,29,28.6,46.0,6,66,540,6.0,4,2,6,3,1,1,12,0,13,62,20,32.3,10.33,3.33,0.06,0.20,0,67,52,10,107,61,49,0,fbref,2026-08-22
2026,Mirassol,289e8847,Mirassol,BR,34,31.0,49.1,8,88,750,8.3,8,6,14,7,1,1,20,3,5,91,28,30.8,10.92,3.36,0.09,0.29,2,78,93,11,128,70,77,0,fbref,2026-08-22
2026,Nacional,26ebba72,Nacional,UY,25,29.3,39.5,6,66,540,6.0,7,3,10,6,1,1,12,2,9,59,24,40.7,9.83,4.00,0.12,0.29,1,49,68,2,117,55,56,0,fbref,2026-08-22
2026,Palmeiras,abdce579,Palmeiras,BR,24,27.6,59.1,8,88,720,8.0,12,10,22,11,1,1,8,1,4,145,45,31.0,18.12,5.63,0.08,0.27,0,84,110,21,141,65,77,2,fbref,2026-08-22
2026,Peñarol,e2d73ee6,Peñarol,UY,27,29.2,43.2,6,66,540,6.0,4,3,7,4,0,0,16,1,8,80,24,30.0,13.33,4.00,0.05,0.17,1,64,86,10,115,60,72,0,fbref,2026-08-22
2026,Platense,3cbfa767,Platense,AR,29,27.4,49.1,8,88,750,8.3,9,5,14,7,2,3,17,1,8,83,32,38.6,9.96,3.84,0.11,0.28,0,100,93,13,159,99,77,0,fbref,2026-08-22
