temporada,fase,rodada,grupo,perna,data,mandante,pais_mandante,nome_curto_mandante,visitante,pais_visitante,nome_curto_visitante,gols_mandante,gols_visitante,resultado,gols_intervalo_mandante,gols_intervalo_visitante,penaltis_mandante,penaltis_visitante,vencedor_penaltis,prorrogacao,observacao,fonte
2012,Qualifying,Round 1,,1,2012-01-24,Arsenal de Sarandí,ARG,Arsenal de Sarandí,Sport Huancayo,PER,Sport Huancayo,3.0,0.0,mandante,2.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,1,2012-01-24,El Nacional,ECU,El Nacional,Libertad,PAR,Libertad,1.0,0.0,mandante,1.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,1,2012-01-25,Unión Española,CHI,Unión Española,UANL Tigres,MEX,Tigres UANL,1.0,0.0,mandante,0.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,1,2012-01-25,Real Potosí,BOL,Real Potosí,Flamengo RJ,BRA,Flamengo,2.0,1.0,mandante,1.0,1.0,,,,False,,openfootball
2012,Qualifying,Round 1,,1,2012-01-25,Internacional,BRA,Internacional,Once Caldas,COL,Once Caldas,1.0,0.0,mandante,1.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,1,2012-01-26,Peñarol,URU,Peñarol,Caracas FC,VEN,Caracas,4.0,0.0,mandante,2.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,2,2012-01-31,Libertad,PAR,Libertad,El Nacional,ECU,El Nacional,4.0,1.0,mandante,3.0,1.0,,,,False,,openfootball
2012,Qualifying,Round 1,,2,2012-01-31,Sport Huancayo,PER,Sport Huancayo,Arsenal de Sarandí,ARG,Arsenal de Sarandí,1.0,1.0,empate,1.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,2,2012-02-01,Flamengo RJ,BRA,Flamengo,Real Potosí,BOL,Real Potosí,2.0,0.0,mandante,1.0,0.0,,,,False,,openfootball
2012,Qualifying,Round 1,,2,2012-02-01,Once Caldas,COL,Once Caldas,Internacional,BRA,Internacional,2.0,2.0,empate,2.0,2.0,,,,False,,openfootball
2012,Qualifying,Round 1,,2,2012-02-02,Caracas FC,VEN,Caracas,Peñarol,URU,Peñarol,1.0,1.0,empate,0.0,1.0,,,,False,,openfootball
2012,Qualifying,Round 1,,2,2012-02-03,UANL Tigres,MEX,Tigres UANL,Unión Española,CHI,Unión Española,2.0,2.0,empate,2.0,1.0,,,,False,,openfootball
